date,hour,pickup_community_area,day_of_week,demand,temperature,zone_name,is_holiday,n_crashes,congestion_speed
2023-02-17,0,38,6,1,-0.6,GRAND BOULEVARD,0,0,24.82235632183908
2023-02-17,0,64,6,0,-0.6,CLEARING,0,0,24.82235632183908
2023-02-17,0,77,6,0,-0.6,EDGEWATER,0,0,24.82235632183908
2023-02-17,0,57,6,0,-0.6,ARCHER HEIGHTS,0,0,24.82235632183908
2023-02-17,0,37,6,2,-0.6,FULLER PARK,0,0,24.82235632183908
2023-02-17,0,29,6,0,-0.6,NORTH LAWNDALE,0,1,24.82235632183908
2023-02-17,0,32,6,18,-0.6,LOOP,0,0,24.82235632183908
2023-02-17,0,35,6,1,-0.6,DOUGLAS,0,0,24.82235632183908
2023-02-17,0,14,6,0,-0.6,ALBANY PARK,0,0,24.82235632183908
2023-02-17,0,13,6,0,-0.6,NORTH PARK,0,0,24.82235632183908
2023-02-17,0,46,6,1,-0.6,SOUTH CHICAGO,0,0,24.82235632183908
2023-02-17,0,62,6,0,-0.6,WEST ELSDON,0,0,24.82235632183908
2023-02-17,0,7,6,4,-0.6,LINCOLN PARK,0,0,24.82235632183908
2023-02-17,0,11,6,1,-0.6,JEFFERSON PARK,0,0,24.82235632183908
2023-02-17,0,26,6,0,-0.6,WEST GARFIELD PARK,0,0,24.82235632183908
2023-02-17,0,28,6,24,-0.6,NEAR WEST SIDE,0,0,24.82235632183908
2023-02-17,0,8,6,48,-0.6,NEAR NORTH SIDE,0,0,24.82235632183908
2023-02-17,0,67,6,0,-0.6,WEST ENGLEWOOD,0,1,24.82235632183908
2023-02-17,0,74,6,0,-0.6,MOUNT GREENWOOD,0,0,24.82235632183908
2023-02-17,0,5,6,4,-0.6,NORTH CENTER,0,0,24.82235632183908
2023-02-17,0,31,6,0,-0.6,LOWER WEST SIDE,0,0,24.82235632183908
2023-02-17,0,65,6,0,-0.6,WEST LAWN,0,0,24.82235632183908
2023-02-17,0,71,6,0,-0.6,AUBURN GRESHAM,0,0,24.82235632183908
2023-02-17,0,44,6,0,-0.6,CHATHAM,0,0,24.82235632183908
2023-02-17,0,68,6,0,-0.6,ENGLEWOOD,0,0,24.82235632183908
2023-02-17,0,2,6,0,-0.6,WEST RIDGE,0,1,24.82235632183908
2023-02-17,0,59,6,0,-0.6,MCKINLEY PARK,0,0,24.82235632183908
2023-02-17,0,75,6,0,-0.6,MORGAN PARK,0,0,24.82235632183908
2023-02-17,0,17,6,0,-0.6,DUNNING,0,0,24.82235632183908
2023-02-17,0,76,6,183,-0.6,OHARE,0,0,24.82235632183908
2023-02-17,0,41,6,3,-0.6,HYDE PARK,0,0,24.82235632183908
2023-02-17,0,47,6,0,-0.6,BURNSIDE,0,0,24.82235632183908
2023-02-17,0,25,6,0,-0.6,AUSTIN,0,0,24.82235632183908
2023-02-17,0,15,6,0,-0.6,PORTAGE PARK,0,0,24.82235632183908
2023-02-17,0,19,6,1,-0.6,BELMONT CRAGIN,0,0,24.82235632183908
2023-02-17,0,40,6,1,-0.6,WASHINGTON PARK,0,0,24.82235632183908
2023-02-17,0,12,6,0,-0.6,FOREST GLEN,0,0,24.82235632183908
2023-02-17,0,70,6,0,-0.6,ASHBURN,0,0,24.82235632183908
2023-02-17,0,18,6,0,-0.6,MONTCLARE,0,0,24.82235632183908
2023-02-17,0,10,6,0,-0.6,NORWOOD PARK,0,0,24.82235632183908
2023-02-17,0,3,6,3,-0.6,UPTOWN,0,0,24.82235632183908
2023-02-17,0,1,6,1,-0.6,ROGERS PARK,0,0,24.82235632183908
2023-02-17,0,34,6,3,-0.6,ARMOUR SQUARE,0,0,24.82235632183908
2023-02-17,0,27,6,0,-0.6,EAST GARFIELD PARK,0,0,24.82235632183908
2023-02-17,0,56,6,22,-0.6,GARFIELD RIDGE,0,0,24.82235632183908
2023-02-17,0,50,6,0,-0.6,PULLMAN,0,0,24.82235632183908
2023-02-17,0,20,6,0,-0.6,HERMOSA,0,0,24.82235632183908
2023-02-17,0,53,6,2,-0.6,WEST PULLMAN,0,0,24.82235632183908
2023-02-17,0,61,6,0,-0.6,NEW CITY,0,0,24.82235632183908
2023-02-17,0,6,6,9,-0.6,LAKE VIEW,0,0,24.82235632183908
2023-02-17,0,23,6,0,-0.6,HUMBOLDT PARK,0,0,24.82235632183908
2023-02-17,0,9,6,0,-0.6,EDISON PARK,0,0,24.82235632183908
2023-02-17,0,48,6,0,-0.6,CALUMET HEIGHTS,0,0,24.82235632183908
2023-02-17,0,73,6,0,-0.6,WASHINGTON HEIGHTS,0,0,24.82235632183908
2023-02-17,0,30,6,0,-0.6,SOUTH LAWNDALE,0,0,24.82235632183908
2023-02-17,0,42,6,0,-0.6,WOODLAWN,0,0,24.82235632183908
2023-02-17,0,36,6,1,-0.6,OAKLAND,0,0,24.82235632183908
2023-02-17,0,55,6,0,-0.6,HEGEWISCH,0,0,24.82235632183908
2023-02-17,0,24,6,3,-0.6,WEST TOWN,0,1,24.82235632183908
2023-02-17,0,63,6,0,-0.6,GAGE PARK,0,0,24.82235632183908
2023-02-17,0,16,6,1,-0.6,IRVING PARK,0,2,24.82235632183908
2023-02-17,0,69,6,0,-0.6,GREATER GRAND CROSSING,0,1,24.82235632183908
2023-02-17,0,72,6,1,-0.6,BEVERLY,0,0,24.82235632183908
2023-02-17,0,54,6,0,-0.6,RIVERDALE,0,0,24.82235632183908
2023-02-17,0,22,6,5,-0.6,LOGAN SQUARE,0,0,24.82235632183908
2023-02-17,0,39,6,0,-0.6,KENWOOD,0,0,24.82235632183908
2023-02-17,0,51,6,0,-0.6,SOUTH DEERING,0,0,24.82235632183908
2023-02-17,0,49,6,1,-0.6,ROSELAND,0,0,24.82235632183908
2023-02-17,0,58,6,0,-0.6,BRIGHTON PARK,0,0,24.82235632183908
2023-02-17,0,33,6,1,-0.6,NEAR SOUTH SIDE,0,0,24.82235632183908
2023-02-17,0,52,6,1,-0.6,EAST SIDE,0,0,24.82235632183908
2023-02-17,0,43,6,0,-0.6,SOUTH SHORE,0,1,24.82235632183908
2023-02-17,0,4,6,0,-0.6,LINCOLN SQUARE,0,0,24.82235632183908
2023-02-17,0,45,6,0,-0.6,AVALON PARK,0,0,24.82235632183908
2023-02-17,0,60,6,0,-0.6,BRIDGEPORT,0,0,24.82235632183908
2023-02-17,0,21,6,0,-0.6,AVONDALE,0,0,24.82235632183908
2023-02-17,0,66,6,0,-0.6,CHICAGO LAWN,0,0,24.82235632183908
2023-02-17,1,38,6,0,-1.1,GRAND BOULEVARD,0,0,20.67626436781609
2023-02-17,1,64,6,0,-1.1,CLEARING,0,0,20.67626436781609
2023-02-17,1,77,6,1,-1.1,EDGEWATER,0,0,20.67626436781609
2023-02-17,1,57,6,0,-1.1,ARCHER HEIGHTS,0,0,20.67626436781609
2023-02-17,1,37,6,0,-1.1,FULLER PARK,0,1,20.67626436781609
2023-02-17,1,29,6,0,-1.1,NORTH LAWNDALE,0,0,20.67626436781609
2023-02-17,1,32,6,6,-1.1,LOOP,0,0,20.67626436781609
2023-02-17,1,35,6,2,-1.1,DOUGLAS,0,0,20.67626436781609
2023-02-17,1,14,6,0,-1.1,ALBANY PARK,0,0,20.67626436781609
2023-02-17,1,13,6,0,-1.1,NORTH PARK,0,0,20.67626436781609
2023-02-17,1,46,6,0,-1.1,SOUTH CHICAGO,0,0,20.67626436781609
2023-02-17,1,62,6,0,-1.1,WEST ELSDON,0,0,20.67626436781609
2023-02-17,1,7,6,2,-1.1,LINCOLN PARK,0,0,20.67626436781609
2023-02-17,1,11,6,0,-1.1,JEFFERSON PARK,0,0,20.67626436781609
2023-02-17,1,26,6,1,-1.1,WEST GARFIELD PARK,0,0,20.67626436781609
2023-02-17,1,28,6,3,-1.1,NEAR WEST SIDE,0,0,20.67626436781609
2023-02-17,1,8,6,37,-1.1,NEAR NORTH SIDE,0,0,20.67626436781609
2023-02-17,1,67,6,0,-1.1,WEST ENGLEWOOD,0,0,20.67626436781609
2023-02-17,1,74,6,0,-1.1,MOUNT GREENWOOD,0,0,20.67626436781609
2023-02-17,1,5,6,0,-1.1,NORTH CENTER,0,0,20.67626436781609
2023-02-17,1,31,6,0,-1.1,LOWER WEST SIDE,0,0,20.67626436781609
2023-02-17,1,65,6,0,-1.1,WEST LAWN,0,0,20.67626436781609
2023-02-17,1,71,6,0,-1.1,AUBURN GRESHAM,0,0,20.67626436781609
2023-02-17,1,44,6,1,-1.1,CHATHAM,0,0,20.67626436781609
2023-02-17,1,68,6,0,-1.1,ENGLEWOOD,0,0,20.67626436781609
2023-02-17,1,2,6,0,-1.1,WEST RIDGE,0,0,20.67626436781609
2023-02-17,1,59,6,0,-1.1,MCKINLEY PARK,0,0,20.67626436781609
2023-02-17,1,75,6,0,-1.1,MORGAN PARK,0,0,20.67626436781609
2023-02-17,1,17,6,0,-1.1,DUNNING,0,0,20.67626436781609
2023-02-17,1,76,6,176,-1.1,OHARE,0,0,20.67626436781609
2023-02-17,1,41,6,0,-1.1,HYDE PARK,0,0,20.67626436781609
2023-02-17,1,47,6,0,-1.1,BURNSIDE,0,0,20.67626436781609
2023-02-17,1,25,6,1,-1.1,AUSTIN,0,1,20.67626436781609
2023-02-17,1,15,6,0,-1.1,PORTAGE PARK,0,0,20.67626436781609
2023-02-17,1,19,6,0,-1.1,BELMONT CRAGIN,0,1,20.67626436781609
2023-02-17,1,40,6,0,-1.1,WASHINGTON PARK,0,0,20.67626436781609
2023-02-17,1,12,6,0,-1.1,FOREST GLEN,0,0,20.67626436781609
2023-02-17,1,70,6,0,-1.1,ASHBURN,0,0,20.67626436781609
2023-02-17,1,18,6,0,-1.1,MONTCLARE,0,0,20.67626436781609
2023-02-17,1,10,6,1,-1.1,NORWOOD PARK,0,0,20.67626436781609
2023-02-17,1,3,6,0,-1.1,UPTOWN,0,0,20.67626436781609
2023-02-17,1,1,6,0,-1.1,ROGERS PARK,0,0,20.67626436781609
2023-02-17,1,34,6,0,-1.1,ARMOUR SQUARE,0,0,20.67626436781609
